arpabet,character,1_before,2_before,3_before,1_after,2_after,3_after
UW,U,1.10200881926,1.31098423162,1.57645799181,0.802226707485,1.22358979359,1.41940449016
Z,Z,0.456366936613,0.820135427678,1.24081219154,1.0563278041,1.105610386,1.26685633418
Z,S,0.992417785428,1.2118340427,1.39587937855,0.740481771762,0.665429572957,0.420878412689
M,M,1.23500867764,1.41870293922,1.53025877038,1.12939848432,1.29040861036,1.55251016448
M,ME,0.406219270588,1.05206917531,1.53548963514,0.240299536107,1.21214572826,1.17519368866
M,MM,0.0295170592512,0.926761333226,1.08597779012,0.307168969445,1.34514336274,1.56804867789
L,L,1.2433566467,1.46378933725,1.57076129232,1.09926247431,1.35051229026,1.56990702831
L,LE,0.298128852882,0.724660341911,1.31145506892,0.414193314534,1.2857067377,1.26866689335
L,LL,0.205125515603,0.870124002956,1.52831137219,0.601718583839,1.37700444617,1.45705619844
N,N,0.683048292514,1.36033624709,1.58227704562,1.43338426799,1.56434311138,1.56558436933
N,NE,0.394218974082,0.762113732644,1.50235829651,0.336730238092,0.746893580678,0.75929698775
N,NN,NONE,0.9493724132,1.35470598834,0.438159554906,1.25457425621,1.56743790544
P,P,1.5092520174,1.56114667332,1.4075304619,1.16846029809,1.42253071811,1.53294821951
P,PE,NONE,1.16254842483,1.57253146582,0.191618327348,0.954502314901,0.924274334913
S,S,1.42673377014,1.48626305627,1.57351558038,1.53851433582,1.57828574481,1.48461711861
S,C,1.50476278763,1.55141285115,1.52981856524,0.536833474185,0.979020504799,1.55570825945
S,CE,NONE,1.24896974445,1.30492078499,0.247805475593,1.1820702352,1.19031973619
S,SE,1.12981453786,1.49489199447,1.44359452406,0.74367738431,1.45415447241,1.3519288198
S,SS,0.16413198719,0.595326557978,1.42026374146,1.40646142718,1.40261449386,1.18243899521
SH,SH,1.39901220349,1.40454929062,1.49545387233,0.82561021777,1.33148027855,1.53027819352
SH,TIO,NONE,0.850664471428,1.15869612484,NONE,0.0564334362716,1.45348667899
SH,S,0.64185157705,0.900709258006,1.36683150491,0.485141429428,0.621571398882,0.522006998825
SH,CH,0.838315462292,0.8729411895,0.614260480328,0.45235301021,0.660710826889,1.54413869787
UH,OUL,NONE,NONE,NONE,NONE,NONE,NONE
UH,U,1.19262419023,1.4690466164,1.30288585845,0.717818455132,1.29591017168,1.53635774951
UH,OU,NONE,1.38225656664,1.38225656664,NONE,1.41463034758,1.52244128473
UH,O,NONE,1.40507276077,1.52631275667,NONE,1.116641911,NONE
W,W,1.54571710118,1.57282112652,1.37303461865,NONE,0.807913932212,1.5842257841
W,V,NONE,NONE,NONE,NONE,NONE,NONE
W,U,NONE,1.4041732663,1.38688938423,NONE,0.675718041267,1.39981186263
V,V,0.858115518298,1.37321017814,1.54295529352,0.908814842283,1.32029222641,1.56909160455
V,W,NONE,NONE,NONE,NONE,NONE,NONE
V,WH,NONE,NONE,NONE,NONE,NONE,NONE
OW,OW,0.509620152322,1.56224207806,1.3449086766,1.21375150385,1.56526508607,1.43378873148
OW,O,0.82868222072,1.57647633688,1.48928143613,0.915353302908,1.42921847286,1.52141286402
JH,J,1.37845284184,1.34786147006,0.975354033721,0.489191235748,0.651894328348,1.50105018251
